[2024-03-06 20:57:07,895: INFO: main: welcome to our custom log]
[2024-03-06 20:58:08,279: INFO: main: welcome to our custom log]
[2024-03-06 20:58:45,910: INFO: main: welcome to our custom log]
[2024-03-09 19:00:27,648: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-09 19:00:27,704: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-09 19:00:27,713: INFO: common: created directory at: artifacts]
[2024-03-09 19:01:35,017: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-09 19:01:35,020: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-09 19:01:35,022: INFO: common: created directory at: artifacts]
[2024-03-09 19:04:54,953: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-09 19:04:54,958: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-09 19:04:54,959: INFO: common: created directory at: artifacts]
[2024-03-09 19:05:53,405: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-09 19:05:53,407: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-09 19:05:53,409: INFO: common: created directory at: artifacts]
[2024-03-09 19:11:17,148: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-09 19:11:17,149: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-09 19:11:17,153: INFO: common: created directory at: artifacts]
[2024-03-09 19:11:46,918: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-09 19:11:46,920: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-09 19:12:37,753: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-09 19:12:37,755: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-09 19:12:37,756: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-09 19:12:37,760: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1PQHHZnwRrgNvTqC6kCLQ1oSWBv36mAyo/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-03-09 19:15:29,600: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1PQHHZnwRrgNvTqC6kCLQ1oSWBv36mAyo/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
